0,1,2,3,4
사건번호,사건명,해양사고종류1,톤수범위(통계용),선박용도(통계용)
BS-2019-0025,유조선 제101경인호 · 어선 대성호 충돌사건,충돌,100~500톤미만,유조선
BS-2019-0025,유조선 제101경인호 · 어선 대성호 충돌사건,충돌,3~5톤미만,어선
BS-2019-0026,어선 기쁨호 추진축계손상사건,추진축계손상,2~3톤미만,어선
BS-2019-0027,예선 한일5002호 화재사건,화재,100~500톤미만,예인선
BS-2019-0028,어선 태웅호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0029,낚시어선 예스호 부유물감김사건,부유물감김,3~5톤미만,어선
BS-2019-0030,부선(기름저장 해상구조물) 1해성호 해양오염사건,해양오염,100~500톤미만,기타선
BS-2019-0031,모터보트 타임머신호 기관손상사건,기관손상,3~5톤미만,수상레저기구
BS-2019-0032,모터보트 써마일3호 기관손상사건,기관손상,1~2톤미만,수상레저기구
BS-2019-0034,낚시어선 무적호 · 엘피지운반선 코에타호 충돌사건,충돌,5~10톤미만,어선
BS-2019-0034,낚시어선 무적호 · 엘피지운반선 코에타호 충돌사건,충돌,"1,000~5,000톤미만",유조선
BS-2019-0035,어선 갑성호 기관손상사건,기관손상,1톤미만,어선
BS-2019-0036,어선 만덕호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0037,낚시어선 스텔라호 좌초사건,좌초,5~10톤미만,어선
BS-2019-0038,어선 제2보성호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0039,어선 한서호 추진축계손상사건,추진축계손상,30~50톤미만,어선
BS-2019-0040,어선 반야호 추진축계손상사건,추진축계손상,3~5톤미만,어선
BS-2019-0041,기타선 제5쌍용호 화재사건,화재,30~50톤미만,기타선
BS-2019-0042,어선 천일호 부유물감김사건,부유물감김,5~10톤미만,어선
BS-2019-0043,어선 자룡호 기관손상사건,기관손상,2~3톤미만,어선
BS-2019-0044,모터보트 제피로스호 침수사건,침수,2~3톤미만,수상레저기구
BS-2019-0045,어선 한진호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0046,어선 창성호 기관손상사건,기관손상,5~10톤미만,어선
BS-2019-0047,컨테이너선 엠에스씨파우스티나호 작업원부상사건,안전사고,"100,000톤이상",화물선
BS-2019-0049,석유제품운반선 삼진3호 · 어선 진영호 충돌사건,충돌,100~500톤미만,유조선
BS-2019-0049,석유제품운반선 삼진3호 · 어선 진영호 충돌사건,충돌,3~5톤미만,어선
BS-2019-0050,어선 금복호 기관손상사건,기관손상,2~3톤미만,어선
BS-2019-0051,어선 대륜호 · 화물선 비비씨버몬트 충돌사건,충돌,20~25톤미만,어선
BS-2019-0051,어선 대륜호 · 화물선 비비씨버몬트 충돌사건,충돌,"20,000~50,000톤미만",화물선
BS-2019-0052,석유제품운반선 미성호 등 2척 기타 사건,기타,100~500톤미만,유조선
BS-2019-0052,석유제품운반선 미성호 등 2척 기타 사건,기타,30~50톤미만,유조선
BS-2019-0053,어선 영광호 조타장치손상사건,조타장치손상,10~15톤미만,어선
BS-2019-0064,유조선 삼흥호 화재사건,화재,100~500톤미만,유조선
BS-2019-0065,어선 어성호 선원부상사건,안전사고,5~10톤미만,어선
BS-2019-0066,어선 해명5호 추진축계손상사건,추진축계손상,5~10톤미만,어선
BS-2019-0067,일반부선 강남5001호 작업원부상사건,안전사고,"500~1,000톤미만",기타선
BS-2019-0068,원양어선 그래닛호 기관손상사건,기관손상,"1,000~5,000톤미만",어선
BS-2019-0069,낚시어선 아라리호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0071,모터보트 제이진호 조타장치손상사건,조타장치손상,2~3톤미만,수상레저기구
BS-2019-0072,어선 덕성호 기관손상사건,기관손상,20~25톤미만,어선
BS-2019-0076,예인선 해영2400호 · 석유제품운반선 다원1호 충돌사건,충돌,50~100톤미만,예인선
BS-2019-0076,예인선 해영2400호 · 석유제품운반선 다원1호 충돌사건,충돌,25~30톤미만,유조선
BS-2019-0078,부선 삼양8005호 · 예인선 101금신호의 피예인부선 해양5001호 충돌사건,충돌,"1,000~5,000톤미만",기타선
BS-2019-0078,부선 삼양8005호 · 예인선 101금신호의 피예인부선 해양5001호 충돌사건,충돌,"500~1,000톤미만",기타선
BS-2019-0078,부선 삼양8005호 · 예인선 101금신호의 피예인부선 해양5001호 충돌사건,충돌,50~100톤미만,예인선
BS-2019-0081,어선 덕성호 기관손상사건,기관손상,20~25톤미만,어선
BS-2019-0082,어선 금천호 조타장치손상사건,조타장치손상,3~5톤미만,어선
BS-2019-0083,관공선 경남510호 기관손상사건,기관손상,5~10톤미만,기타선
BS-2019-0084,어선 광명호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0086,어선 청일호 화재사건,화재,50~100톤미만,어선
BS-2019-0087,모터보트 바다향기호 기관손상사건,기관손상,1~2톤미만,수상레저기구
BS-2019-0088,낚시어선 해동호 화재사건,화재,3~5톤미만,어선
BS-2019-0089,모터보트 인피니트호 운항저해사건,운항저해,1~2톤미만,수상레저기구
BS-2019-0090,모터보트 씨스타호 기관손상사건,기관손상,1톤미만,수상레저기구
BS-2019-0091,일반부선 삼양8003호 좌초사건,좌초,"1,000~5,000톤미만",기타선
BS-2019-0092,유조선 대영호·통선 아세아1호 등 4척 충돌사건,충돌,"500~1,000톤미만",유조선
BS-2019-0092,유조선 대영호·통선 아세아1호 등 4척 충돌사건,충돌,20~25톤미만,기타선
BS-2019-0092,유조선 대영호·통선 아세아1호 등 4척 충돌사건,충돌,10~15톤미만,기타선
BS-2019-0092,유조선 대영호·통선 아세아1호 등 4척 충돌사건,충돌,10~15톤미만,기타선
BS-2019-0092,유조선 대영호·통선 아세아1호 등 4척 충돌사건,충돌,10~15톤미만,기타선
BS-2019-0093,어선 제105길양호 추진축계손상사건,추진축계손상,25~30톤미만,어선
BS-2019-0095,어선 제208흥성호 화재사건,화재,50~100톤미만,어선
BS-2019-0096,어선 방진호 선원부상사건,안전사고,3~5톤미만,어선
BS-2019-0103,일반부선 아주600호 화재사건,화재,"1,000~5,000톤미만",기타선
BS-2019-0104,어선 동진호 추진축계손상사건,추진축계손상,2~3톤미만,어선
BS-2019-0105,낚시어선 스텔라호 기관손상사건,기관손상,5~10톤미만,어선
BS-2019-0106,예인선 신정601호 · 피예인부선 제6001신정호 좌초사건,좌초,100~500톤미만,예인선
BS-2019-0106,예인선 신정601호 · 피예인부선 제6001신정호 좌초사건,좌초,"500~1,000톤미만",기타선
BS-2019-0107,컨테이너선 에스엠 홍콩 선원부상사건,안전사고,"50,000~100,000톤미만",화물선
BS-2019-0108,어선 태진호 부유물 감김사건,부유물감김,25~30톤미만,어선
BS-2019-0110,어선 명진호 부유물감김사건,부유물감김,3~5톤미만,어선
BS-2019-0111,모터보트 카오스모스호 기관손상사건,기관손상,1톤미만,수상레저기구
BS-2019-0112,어선 제55신방호  · 어선 제2금명호 충돌사건,충돌,100~500톤미만,어선
BS-2019-0112,어선 제55신방호  · 어선 제2금명호 충돌사건,충돌,50~100톤미만,어선
BS-2019-0112,어선 제55신방호  · 어선 제2금명호 충돌사건,충돌,50~100톤미만,어선
BS-2019-0113,어선 범승호 부유물감김사건,부유물감김,20~25톤미만,어선
BS-2019-0114,낚시어선 클래식호 기관손상사건,기관손상,5~10톤미만,어선
BS-2019-0115,어선 건덕호 침수사건,침수,3~5톤미만,어선
BS-2019-0116,어선 제501태광호 부유물감김사건,부유물감김,30~50톤미만,어선
BS-2019-0117,어선 부성호 운항저해사건,운항저해,5~10톤미만,어선
BS-2019-0118,부선 비씨-1호(BC-1호) 침몰사건,침몰,"500~1,000톤미만",기타선
BS-2019-0119,모터보트 나포리호 전복사건,전복,1~2톤미만,수상레저기구
BS-2019-0120,어선 태영호 운항저해사건,운항저해,2~3톤미만,어선
BS-2019-0121,세일링요트 트롤크래프트호 운항저해사건,운항저해,2~3톤미만,수상레저기구
BS-2019-0122,어선 팔송호 기관손상사건,기관손상,1~2톤미만,어선
BS-2019-0123,어선 해성호 추진축계손상사건,추진축계손상,3~5톤미만,어선
BS-2019-0125,예인선 102고려호 · 어선 신영호 충돌사건,충돌,100~500톤미만,예인선
BS-2019-0125,예인선 102고려호 · 어선 신영호 충돌사건,충돌,5~10톤미만,어선
BS-2019-0126,예인선 29조양호의 피예인부선 해광5005호 · 화물선 팀가드(TIMGAD) 충돌사건,충돌,50~100톤미만,예인선
BS-2019-0126,예인선 29조양호의 피예인부선 해광5005호 · 화물선 팀가드(TIMGAD) 충돌사건,충돌,"500~1,000톤미만",기타선
BS-2019-0126,예인선 29조양호의 피예인부선 해광5005호 · 화물선 팀가드(TIMGAD) 충돌사건,충돌,"10,000~20,000톤미만",화물선
BS-2019-0127,낚시어선 금양3호 기관손상사건,기관손상,5~10톤미만,어선
BS-2019-0128,낚시어선 여명호 추진축계 손상사건,추진축계손상,5~10톤미만,어선
BS-2019-0137,일반화물선 씨그랜드 광안대교 접촉사건,접촉,50~100톤미만,여객선
BS-2019-0137,일반화물선 씨그랜드 광안대교 접촉사건,접촉,"5,000~10,000톤미만",화물선
BS-2019-0138,컨테이너선 텐진(TIANJIN)호 · 컨테이너선 사프마린 노콴다(SAFEMARINE NOKWANDA)호 충돌사건,충돌,"100,000톤이상",화물선
BS-2019-0138,컨테이너선 텐진(TIANJIN)호 · 컨테이너선 사프마린 노콴다(SAFEMARINE NOKWANDA)호 충돌사건,충돌,"50,000~100,000톤미만",화물선
BS-2019-0139,기타선 덕성2호 부유물감김사건,추진축계손상,2~3톤미만,기타선
BS-2019-0140,낚시어선 고성베이2호 추진축계 손상사건,추진축계손상,5~10톤미만,어선
BS-2019-0141,양식장관리선 성진호 운항저해사건,운항저해,3~5톤미만,어선
BS-2019-0142,어선 성진호 부유물감김사건,부유물감김,3~5톤미만,어선
BS-2019-0143,선명미상 모터보트 전복사건,전복,1~2톤미만,수상레저기구
BS-2019-0144,석유제품운반선 제17금영호 해양오염사건,해양오염,20~25톤미만,유조선
BS-2019-0145,어선 영신호 추진축계손상사건,조타장치손상,5~10톤미만,어선
BS-2019-0146,어선 해영호 기관손상사건,기관손상,2~3톤미만,어선
BS-2019-0147,예인선 케이-1호 기관손상사건,기관손상,100~500톤미만,예인선
BS-2019-0153,모터보트 문성호 전복사건,전복,1~2톤미만,수상레저기구
BS-2019-0154,유조선 삼진1호 기관손상사건,기관손상,"500~1,000톤미만",유조선
BS-2019-0155,잠수기선 광산호 좌초사건,좌초,3~5톤미만,어선
BS-2019-0156,어선 보은호 선원부상사건,안전사고,20~25톤미만,어선
BS-2019-0157,어선 화성호 좌초사건,좌초,1~2톤미만,어선
BS-2019-0158,용달선 제101세진호 전복사건,전복,20~25톤미만,기타선
BS-2019-0159,모터보트 경원호 기관손상사건,기관손상,1톤미만,수상레저기구
BS-2019-0160,어선 제101청해호 기관손상사건,기관손상,30~50톤미만,어선
BS-2019-0161,통선 진산3호 기관손상사건,기관손상,10~15톤미만,기타선
BS-2019-0162,어선 순영호 침수사건,침수,3~5톤미만,어선
BS-2019-0163,모터보트 대성호 운항저해사건,운항저해,2~3톤미만,수상레저기구
BS-2019-0164,세일링요트 씨도그호 기관손상사건,기관손상,5~10톤미만,수상레저기구
BS-2019-0165,어선 1신선호 기관손상사건,기관손상,25~30톤미만,어선
BS-2019-0166,어선 제501태광호 부유물감김사건,부유물감김,25~30톤미만,어선
BS-2019-0167,모터보트 씨월드호 운항저해사건,운항저해,1~2톤미만,수상레저기구
BS-2019-0168,어선 1신성호 추진축계손상사건,추진축계손상,2~3톤미만,어선
BS-2019-0169,어선 동광호 기관손상사건,기관손상,25~30톤미만,어선
BS-2019-0170,케미컬운반선 에오스호 · 일반화물선 아이쇼8 충돌사건,충돌,"1,000~5,000톤미만",기타선
BS-2019-0170,케미컬운반선 에오스호 · 일반화물선 아이쇼8 충돌사건,충돌,100~500톤미만,화물선
BS-2019-0179,어선 한서호 기관손상사건,기관손상,30~50톤미만,어선
BS-2019-0180,어선 해성호·어선 동림호 충돌사건,충돌,3~5톤미만,어선
BS-2019-0180,어선 해성호·어선 동림호 충돌사건,충돌,1~2톤미만,어선
BS-2019-0181,예인선 205동성호 침몰사건,침몰,20~25톤미만,예인선
BS-2019-0182,낚시어선 인성호 승객부상사건,안전사고,50~100톤미만,여객선
BS-2019-0182,낚시어선 인성호 승객부상사건,안전사고,3~5톤미만,어선
BS-2019-0183,모터보트 7성원호 좌초사건,좌초,1톤미만,수상레저기구
BS-2019-0184,석유제품운반선 에스티오아이리스호 부유물감김사건,부유물감김,100~500톤미만,유조선
BS-2019-0185,일반화물선 시우산호 기관손상사건,기관손상,"1,000~5,000톤미만",화물선
BS-2019-0186,석유제품운반선 프리마엑스피호 해양오염사건,해양오염,"20,000~50,000톤미만",유조선
BS-2019-0187,어선 3성진호 추진축계손상사건,추진축계손상,3~5톤미만,어선
BS-2019-0188,어선 은창호 기관손상사건,기관손상,2~3톤미만,어선
BS-2019-0189,낚시어선 복천호 · 어선 성산호 충돌사건,충돌,3~5톤미만,어선
BS-2019-0189,낚시어선 복천호 · 어선 성산호 충돌사건,충돌,2~3톤미만,어선
BS-2019-0190,어선 광영호 조타장치손상사건,조타장치손상,20~25톤미만,어선
BS-2019-0191,어선 카리스호 · 케미컬운반선 새한글로리아호 충돌사건,충돌,20~25톤미만,어선
BS-2019-0191,어선 카리스호 · 케미컬운반선 새한글로리아호 충돌사건,충돌,"5,000~10,000톤미만",유조선
BS-2019-0192,모터보트 혜성1호 추진축계손상사건,추진축계손상,1~2톤미만,수상레저기구
BS-2019-0194,어선 순풍호 기관손상사건,기관손상,1~2톤미만,어선
BS-2019-0195,어선 제15만구호 화재사건,화재,50~100톤미만,어선
BS-2019-0196,어선 재창호 침수사건,침수,2~3톤미만,어선
BS-2019-0198,모터보트 썬크루즈호 기관손상사건,기관손상,1~2톤미만,수상레저기구
BS-2019-0199,카페리선 강승페리호 선원사망사건,안전사고,100~500톤미만,화물선
BS-2019-0200,낚시어선 우성호 기관손상사건,기관손상,5~10톤미만,어선
BS-2019-0201,유람선 온누리호 운항저해사건,운항저해,50~100톤미만,여객선
BS-2019-0202,무등록 소형선박 침수사건,침수,1~2톤미만,기타선
BS-2019-0203,모터보트 골든벨 추진축계손상사건,추진축계손상,3~5톤미만,수상레저기구
BS-2019-0204,어선 금광호 추진축계손상사건,추진축계손상,1~2톤미만,어선
BS-2019-0205,낚시어선 리조트호 침수사건,침수,5~10톤미만,어선
BS-2019-0206,급유선 창진1호 기타사건,기타,50~100톤미만,유조선
BS-2019-0207,어선 스마트호 기관손상사건,기관손상,5~10톤미만,어선
BS-2019-0209,어선 상평호 부유물감김사건,부유물감김,30~50톤미만,어선
BS-2019-0210,어선 용성호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0211,낚시어선 동광호 기관손상사건,기관손상,2~3톤미만,어선
BS-2019-0212,산적화물선 팬토파즈(PAN TOPAZ) 해양오염사건,해양오염,"20,000~50,000톤미만",화물선
BS-2019-0213,어선 진성호 부유물감김사건,부유물감김,2~3톤미만,어선
BS-2019-0215,세일링요트 코코21호 부유물감김사건,부유물감김,2~3톤미만,수상레저기구
BS-2019-0216,컨테이너선 베가 카파호 해양오염사건,해양오염,"5,000~10,000톤미만",화물선
BS-2019-0217,컨테이너선 레오 씨 해양오염사건,해양오염,"50,000~100,000톤미만",화물선
BS-2019-0218,예인선 한일5002호 해양오염사건,해양오염,100~500톤미만,예인선
BS-2019-0219,어선 제1보경호 운항저해사건,운항저해,3~5톤미만,어선
BS-2019-0220,모터보트 해린호 부유물감김사건,부유물감김,1~2톤미만,수상레저기구
BS-2019-0221,어선 자이언트2호·어선 현대호 충돌사건,충돌,5~10톤미만,어선
BS-2019-0221,어선 자이언트2호·어선 현대호 충돌사건,충돌,3~5톤미만,어선
BS-2019-0222,예인선 창영3004호의 피예인부선 건민1700호 · 예인선 보고1호 충돌사건,충돌,100~500톤미만,예인선
BS-2019-0222,예인선 창영3004호의 피예인부선 건민1700호 · 예인선 보고1호 충돌사건,충돌,"1,000~5,000톤미만",기타선
BS-2019-0222,예인선 창영3004호의 피예인부선 건민1700호 · 예인선 보고1호 충돌사건,충돌,100~500톤미만,예인선
BS-2019-0223,어선 제1항진호 침수사건,침수,5~10톤미만,어선
BS-2019-0224,모터보트 균앤미호 기관손상사건,기관손상,1~2톤미만,수상레저기구
BS-2019-0225,해저준설부선 제5데콤스호 화재사건,화재,100~500톤미만,기타선
BS-2019-0226,세일링요트 놀자호 부유물감김사건,부유물감김,2~3톤미만,수상레저기구
BS-2019-0227,어선 주얼리호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0228,어선 제2성창호 부유물감김사건,부유물감김,3~5톤미만,어선
BS-2019-0229,어선 로시난테호 침수사건,침수,3~5톤미만,어선
BS-2019-0230,기타선 코리아108호 좌초사건,좌초,10~15톤미만,기타선
BS-2019-0231,카페리선 경진호 침수사건,침수,25~30톤미만,화물선
BS-2019-0232,어선 제8창승호 전복사건,전복,5~10톤미만,어선
BS-2019-0233,모터보트 찬우호 운항저해사건,운항저해,1톤미만,수상레저기구
BS-2019-0234,어선 행운호 부유물감김사건,부유물감김,3~5톤미만,어선
BS-2019-0235,낚시어선 아쿠아호 기관손상사건,기관손상,5~10톤미만,어선
BS-2019-0236,세일링요트 필윈드 기관손상사건,기관손상,2~3톤미만,수상레저기구
BS-2019-0241,양식장관리선 경성호 전복사건,전복,10~15톤미만,어선
